"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número Desde";"Número Hasta";"Cód. Autorización";"Tipo Doc. Receptor";"Nro. Doc. Receptor";"Denominación Receptor";"Tipo Cambio";"Moneda";"Imp. Neto Gravado IVA 0%";"IVA 2,5%";"Imp. Neto Gravado IVA 2,5%";"IVA 5%";"Imp. Neto Gravado IVA 5%";"IVA 10,5%";"Imp. Neto Gravado IVA 10,5%";"IVA 21%";"Imp. Neto Gravado IVA 21%";"IVA 27%";"Imp. Neto Gravado IVA 27%";"Imp. Neto Gravado Total";"Imp. Neto No Gravado";"Imp. Op. Exentas";"Otros Tributos";"Total IVA";"Imp. Total"
2026-03-02;6;8;144448;144448;86095865521670;99;0;;1,00;$;;;;;;;;2152,07;10247,93;;;10247,93;0,00;0,00;0,00;2152,07;12400,00
2026-03-02;6;8;144489;144489;86095913798616;99;0;;1,00;$;;;;;;;;4859,50;23140,50;;;23140,50;0,00;0,00;0,00;4859,50;28000,00
2026-03-02;6;8;144514;144514;86095943190899;99;0;;1,00;$;;;;;;;;3123,97;14876,03;;;14876,03;0,00;0,00;0,00;3123,97;18000,00
2026-03-02;6;8;144525;144525;86095953003181;99;0;;1,00;$;;;;;;;;2245,79;10694,21;;;10694,21;0,00;0,00;0,00;2245,79;12940,00
2026-03-02;6;8;144490;144490;86095914026848;99;0;;1,00;$;;;;;;;;9184,46;43735,54;;;43735,54;0,00;0,00;0,00;9184,46;52920,00
2026-03-02;6;8;144466;144466;86095888021131;99;0;;1,00;$;;;;;;;;416,53;1983,47;;;1983,47;0,00;0,00;0,00;416,53;2400,00
2026-03-02;6;8;144511;144511;86095940171443;99;0;;1,00;$;;;;;;;;2342,98;11157,02;;;11157,02;0,00;0,00;0,00;2342,98;13500,00
2026-03-02;6;8;144494;144494;86095923837588;99;0;;1,00;$;;;;;;;;1527,27;7272,73;;;7272,73;0,00;0,00;0,00;1527,27;8800,00
2026-03-02;6;8;144460;144460;86095884784051;99;0;;1,00;$;;;;;;;;3505,79;16694,21;;;16694,21;0,00;0,00;0,00;3505,79;20200,00
2026-03-02;6;8;144467;144467;86095888101690;99;0;;1,00;$;;;;;;;;2464,46;11735,54;;;11735,54;0,00;0,00;0,00;2464,46;14200,00
2026-03-02;6;8;144439;144439;86095856623510;99;0;;1,00;$;;;;;;;;2499,17;11900,83;;;11900,83;0,00;0,00;0,00;2499,17;14400,00
2026-03-02;6;8;144458;144458;86095881669437;99;0;;1,00;$;;;;;;;;2082,64;9917,36;;;9917,36;0,00;0,00;0,00;2082,64;12000,00
2026-03-02;6;8;144521;144521;86095946863484;99;0;;1,00;$;;;;;;;;1561,98;7438,02;;;7438,02;0,00;0,00;0,00;1561,98;9000,00
2026-03-02;6;8;144512;144512;86095940368920;99;0;;1,00;$;;;;;;;;624,79;2975,21;;;2975,21;0,00;0,00;0,00;624,79;3600,00
2026-03-02;6;8;144507;144507;86095937099007;99;0;;1,00;$;;;;;;;;1319,01;6280,99;;;6280,99;0,00;0,00;0,00;1319,01;7600,00
2026-03-02;6;8;144461;144461;86095884976677;99;0;;1,00;$;;;;;;;;4338,84;20661,16;;;20661,16;0,00;0,00;0,00;4338,84;25000,00
